iter	Passed	Remaining
595	1703	1154
596	1707	1152
597	1709	1149
598	1710	1145
599	1712	1141
600	1713	1137
601	1715	1133
602	1716	1130
603	1717	1126
604	1719	1122
605	1722	1120
606	1724	1116
607	1725	1112
608	1727	1109
609	1728	1105
610	1730	1101
611	1731	1097
612	1733	1094
613	1738	1092
614	1739	1089
615	1741	1085
616	1742	1081
617	1744	1078
618	1745	1074
619	1746	1070
620	1749	1067
621	1752	1064
622	1753	1061
623	1755	1057
624	1756	1054
625	1758	1050
626	1760	1047
627	1761	1043
628	1763	1040
629	1767	1037
630	1768	1034
631	1769	1030
632	1771	1027
633	1772	1023
634	1774	1019
635	1775	1016
636	1777	1012
637	1780	1010
638	1782	1006
639	1783	1003
640	1784	999
641	1786	996
642	1788	992
643	1790	989
644	1794	987
645	1796	984
646	1798	981
647	1801	978
648	1804	976
649	1806	972
650	1810	970
651	1812	967
652	1814	964
653	1816	961
654	1818	957
655	1820	954
656	1825	953
657	1827	949
658	1829	946
659	1831	943
660	1834	940
661	1835	937
662	1841	935
663	1843	932
664	1844	929
665	1846	925
666	1848	922
667	1849	919
668	1854	917
669	1857	914
670	1860	912
671	1863	909
672	1865	906
673	1870	904
674	1872	901
675	1874	898
676	1876	895
677	1877	891
678	1879	888
679	1880	884
680	1884	882
681	1886	879
682	1887	876
683	1889	872
684	1890	869
685	1892	866
686	1894	863
687	1895	859
688	1901	858
689	1903	855
690	1904	851
691	1906	848
692	1908	845
693	1909	842
694	1913	839
695	1916	837
696	1918	833
697	1919	830
698	1921	827
699	1923	824
700	1925	821
701	1930	819
702	1932	816
703	1933	813
704	1935	809
705	1937	806
706	1938	803
707	1940	800
708	1945	798
709	1947	795
710	1950	792
711	1953	790
712	1955	787
713	1960	785
714	1963	782
715	1965	779
716	1967	776
717	1969	773
718	1973	771
719	1975	768
720	1977	765
721	1979	762
722	1981	759
723	1982	755
724	1984	752
725	1988	750
726	1991	747
727	1992	744
728	1994	741
729	1996	738
730	1998	735
731	2000	732
732	2005	730
733	2007	727
734	2009	724
735	2011	721
736	2012	718
737	2014	715
738	2015	711
739	2019	709
740	2020	706
741	2022	703
742	2024	700
743	2025	697
744	2027	693
745	2028	690
746	2030	687
747	2036	685
748	2038	683
749	2041	680
750	2045	678
751	2051	676
752	2054	674
753	2057	671
754	2059	668
755	2064	666
756	2066	663
757	2067	660
758	2069	656
759	2070	653
760	2071	650
761	2073	647
762	2074	644
763	2075	641
764	2079	638
765	2080	635
766	2082	632
767	2083	629
768	2085	626
769	2086	623
770	2087	620
771	2089	617
772	2093	614
773	2095	611
774	2096	608
775	2097	605
776	2099	602
777	2100	599
778	2103	596
779	2104	593
780	2107	591
781	2109	588
782	2110	584
783	2112	581
784	2113	578
785	2114	575
786	2116	572
787	2118	569
788	2121	567
789	2123	564
790	2125	561
791	2126	558
792	2128	555
793	2130	552
794	2131	549
795	2133	546
796	2136	544
797	2138	541
798	2140	538
799	2141	535
